"figure","region","geography","age_group","status","reason","geography_label"
"figure_04","europe","FI","40-59","available",,"Finland"
"figure_04","europe","FR","40-59","available",,"France"
"figure_04","europe","DE","40-59","available",,"Germany"
"figure_04","europe","EL","40-59","available",,"Greece"
"figure_04","europe","HU","40-59","available",,"Hungary"
"figure_04","europe","IS","40-59","available",,"Iceland"
"figure_04","europe","IT","40-59","available",,"Italy"
"figure_04","europe","LV","40-59","available",,"Latvia"
"figure_04","europe","LI","40-59","available",,"Liechtenstein"
"figure_04","europe","LT","40-59","available",,"Lithuania"
"figure_04","europe","LU","40-59","available",,"Luxembourg"
"figure_04","europe","MT","40-59","available",,"Malta"
"figure_04","europe","ME","40-59","available",,"Montenegro"
"figure_04","europe","NL","40-59","available",,"Netherlands"
"figure_04","europe","NO","40-59","available",,"Norway"
"figure_04","europe","PL","40-59","available",,"Poland"
"figure_04","europe","PT","40-59","available",,"Portugal"
"figure_04","europe","RO","40-59","available",,"Romania"
"figure_04","europe","RS","40-59","available",,"Serbia"
"figure_04","europe","SK","40-59","available",,"Slovakia"
"figure_04","europe","SI","40-59","available",,"Slovenia"
"figure_04","europe","ES","40-59","available",,"Spain"
"figure_04","europe","SE","40-59","available",,"Sweden"
"figure_04","europe","CH","40-59","available",,"Switzerland"
"figure_04","europe","AM","60-79","available",,"Armenia"
"figure_04","europe","AT","60-79","available",,"Austria"
"figure_04","europe","BE","60-79","available",,"Belgium"
"figure_04","europe","BG","60-79","available",,"Bulgaria"
"figure_04","europe","HR","60-79","available",,"Croatia"
"figure_04","europe","CY","60-79","available",,"Cyprus"
"figure_04","europe","CZ","60-79","available",,"Czechia"
"figure_04","europe","DK","60-79","available",,"Denmark"
"figure_04","europe","EE","60-79","available",,"Estonia"
"figure_04","europe","FI","60-79","available",,"Finland"
"figure_04","europe","FR","60-79","available",,"France"
"figure_04","europe","DE","60-79","available",,"Germany"
"figure_04","europe","EL","60-79","available",,"Greece"
"figure_04","europe","HU","60-79","available",,"Hungary"
"figure_04","europe","IS","60-79","available",,"Iceland"
"figure_04","europe","IT","60-79","available",,"Italy"
"figure_04","europe","LV","60-79","available",,"Latvia"
"figure_04","europe","LI","60-79","available",,"Liechtenstein"
"figure_04","europe","LT","60-79","available",,"Lithuania"
"figure_04","europe","LU","60-79","available",,"Luxembourg"
"figure_04","europe","MT","60-79","available",,"Malta"
"figure_04","europe","ME","60-79","available",,"Montenegro"
"figure_04","europe","NL","60-79","available",,"Netherlands"
"figure_04","europe","NO","60-79","available",,"Norway"
"figure_04","europe","PL","60-79","available",,"Poland"
"figure_04","europe","PT","60-79","available",,"Portugal"
"figure_04","europe","RO","60-79","available",,"Romania"
"figure_04","europe","RS","60-79","available",,"Serbia"
"figure_04","europe","SK","60-79","available",,"Slovakia"
"figure_04","europe","SI","60-79","available",,"Slovenia"
"figure_04","europe","ES","60-79","available",,"Spain"
"figure_04","europe","SE","60-79","available",,"Sweden"
"figure_04","europe","CH","60-79","available",,"Switzerland"
"figure_04","europe","AM","GE80","available",,"Armenia"
"figure_04","europe","AT","GE80","available",,"Austria"
"figure_04","europe","BE","GE80","available",,"Belgium"
"figure_04","europe","BG","GE80","available",,"Bulgaria"
"figure_04","europe","HR","GE80","available",,"Croatia"
"figure_04","europe","CY","GE80","available",,"Cyprus"
"figure_04","europe","CZ","GE80","available",,"Czechia"
"figure_04","europe","DK","GE80","available",,"Denmark"
"figure_04","europe","EE","GE80","available",,"Estonia"
"figure_04","europe","FI","GE80","available",,"Finland"
"figure_04","europe","FR","GE80","available",,"France"
"figure_04","europe","DE","GE80","available",,"Germany"
"figure_04","europe","EL","GE80","available",,"Greece"
"figure_04","europe","HU","GE80","available",,"Hungary"
"figure_04","europe","IS","GE80","available",,"Iceland"
"figure_04","europe","IT","GE80","available",,"Italy"
"figure_04","europe","LV","GE80","available",,"Latvia"
"figure_04","europe","LI","GE80","available",,"Liechtenstein"
"figure_04","europe","LT","GE80","available",,"Lithuania"
"figure_04","europe","LU","GE80","available",,"Luxembourg"
"figure_04","europe","MT","GE80","available",,"Malta"
"figure_04","europe","ME","GE80","available",,"Montenegro"
"figure_04","europe","NL","GE80","available",,"Netherlands"
"figure_04","europe","NO","GE80","available",,"Norway"
"figure_04","europe","PL","GE80","available",,"Poland"
"figure_04","europe","PT","GE80","available",,"Portugal"
"figure_04","europe","RO","GE80","available",,"Romania"
"figure_04","europe","RS","GE80","available",,"Serbia"
"figure_04","europe","SK","GE80","available",,"Slovakia"
"figure_04","europe","SI","GE80","available",,"Slovenia"
"figure_04","europe","ES","GE80","available",,"Spain"
"figure_04","europe","SE","GE80","available",,"Sweden"
"figure_04","europe","CH","GE80","available",,"Switzerland"
"figure_04","us","Alabama","20-39","available",,"Alabama"
"figure_04","us","Alaska","20-39","available",,"Alaska"
"figure_04","us","Arizona","20-39","available",,"Arizona"
"figure_04","us","Arkansas","20-39","available",,"Arkansas"
"figure_04","us","California","20-39","available",,"California"
"figure_04","us","Colorado","20-39","available",,"Colorado"
"figure_04","us","Connecticut","20-39","available",,"Connecticut"
